2026-01-06 18:02:36 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='SHORT', event_type='deal', ts=1767711756572, raw={'category': 1, 'externalOid': '_m_a88ec500ce1e480aa3c9bef262533123', 'fee': 0, 'feeCurrency': 'USDT', 'id': '10522096231', 'isSelf': False, 'orderId': '763536789272185344', 'positionMode': 2, 'price': 513.54, 'profit': -0.0069, 'reduceOnly': True, 'side': 3, 'symbol': 'ZEC_USDT', 'taker': True, 'timestamp': 1767711756400, 'vol': 1})
2026-01-06 18:02:36 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='LONG', event_type='position_closed', ts=1767711756572, raw={'autoAddIm': False, 'closeAvgPrice': 513.54, 'closeProfitLoss': -0.0069, 'closeVol': 1, 'createTime': 1767711719274, 'deductFeeList': [], 'fee': 0, 'frozenVol': 0, 'holdAvgPrice': 514.23, 'holdAvgPriceFullyScale': '514.23', 'holdFee': 0, 'holdVol': 0, 'im': 0, 'leverage': 10, 'liquidatePrice': 0, 'makerFeeRate': 0, 'marginRatio': 0.0044, 'newCloseAvgPrice': 513.54, 'newOpenAvgPrice': 514.23, 'oim': 0, 'openAvgPrice': 514.23, 'openAvgPriceFullyScale': '514.23', 'openType': 2, 'pnl': 0, 'positionId': 1222526470, 'positionType': 1, 'realised': -0.0069, 'state': 3, 'symbol': 'ZEC_USDT', 'takerFeeRate': 0, 'updateTime': 1767711756400, 'version': 3})
2026-01-06 18:05:03 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='LONG', event_type='limit_filled', ts=1767711903147, raw={'bboTypeNum': 0, 'category': 1, 'createTime': 1767711903018, 'dealAvgPrice': 514.3, 'dealVol': 1, 'errorCode': 0, 'externalOid': 'c98df1ad-4a5a-4516-be82-b88c8e7e', 'feeCurrency': 'USDT', 'leverage': 10, 'makerFee': 0, 'makerFeeRate': 0, 'openType': 2, 'orderId': '763537404543031296', 'orderMargin': 0.52433, 'orderType': 1, 'positionId': 1222530689, 'positionMode': 2, 'price': 524.33, 'profit': 0, 'reduceOnly': False, 'remainVol': 0, 'side': 1, 'state': 3, 'symbol': 'ZEC_USDT', 'takerFee': 0, 'takerFeeRate': 0, 'updateTime': 1767711903090, 'usedMargin': 0.5143, 'version': 2, 'vol': 1})
2026-01-06 18:05:03 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='LONG', event_type='deal', ts=1767711903244, raw={'category': 1, 'externalOid': 'c98df1ad-4a5a-4516-be82-b88c8e7e', 'fee': 0, 'feeCurrency': 'USDT', 'id': '10522128181', 'isSelf': False, 'orderId': '763537404543031296', 'positionMode': 2, 'price': 514.3, 'profit': 0, 'reduceOnly': False, 'side': 1, 'symbol': 'ZEC_USDT', 'taker': True, 'timestamp': 1767711903090, 'vol': 1})
2026-01-06 18:05:03 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='LONG', event_type='position_opened', ts=1767711903244, raw={'adlLevel': 0, 'autoAddIm': False, 'closeAvgPrice': 0, 'closeProfitLoss': 0, 'closeVol': 0, 'createTime': 1767711903090, 'deductFeeList': [], 'fee': 0, 'frozenVol': 0, 'holdAvgPrice': 514.3, 'holdAvgPriceFullyScale': '514.3', 'holdFee': 0, 'holdVol': 1, 'im': 0.5143, 'leverage': 10, 'liquidatePrice': 0, 'makerFeeRate': 0, 'marginRatio': 0.0044, 'newCloseAvgPrice': 0, 'newOpenAvgPrice': 514.3, 'oim': 0.5143, 'openAvgPrice': 514.3, 'openAvgPriceFullyScale': '514.3', 'openType': 2, 'pnl': 0.0001, 'positionId': 1222530689, 'positionType': 1, 'realised': 0, 'state': 1, 'symbol': 'ZEC_USDT', 'takerFeeRate': 0, 'updateTime': 1767711903090, 'version': 1})
2026-01-06 18:05:55 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='SHORT', event_type='limit_filled', ts=1767711955360, raw={'bboTypeNum': 0, 'category': 1, 'createTime': 1767711955234, 'dealAvgPrice': 513.68, 'dealVol': 1, 'errorCode': 0, 'externalOid': '932050e7-b6d0-4fe9-8531-4512c695', 'feeCurrency': 'USDT', 'leverage': 10, 'makerFee': 0, 'makerFeeRate': 0, 'openType': 2, 'orderId': '763537623536031746', 'orderMargin': 0.5143, 'orderType': 1, 'positionId': 0, 'positionMode': 2, 'price': 503.66, 'profit': -0.0062, 'reduceOnly': False, 'remainVol': 0, 'side': 3, 'state': 3, 'symbol': 'ZEC_USDT', 'takerFee': 0, 'takerFeeRate': 0, 'updateTime': 1767711955301, 'usedMargin': 0.5143, 'version': 2, 'vol': 1})
2026-01-06 18:05:55 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='SHORT', event_type='deal', ts=1767711955461, raw={'category': 1, 'externalOid': '932050e7-b6d0-4fe9-8531-4512c695', 'fee': 0, 'feeCurrency': 'USDT', 'id': '10522139304', 'isSelf': False, 'orderId': '763537623536031746', 'positionMode': 2, 'price': 513.68, 'profit': -0.0062, 'reduceOnly': True, 'side': 3, 'symbol': 'ZEC_USDT', 'taker': True, 'timestamp': 1767711955301, 'vol': 1})
2026-01-06 18:05:55 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='LONG', event_type='position_closed', ts=1767711955461, raw={'autoAddIm': False, 'closeAvgPrice': 513.68, 'closeProfitLoss': -0.0062, 'closeVol': 1, 'createTime': 1767711903090, 'deductFeeList': [], 'fee': 0, 'frozenVol': 0, 'holdAvgPrice': 514.3, 'holdAvgPriceFullyScale': '514.3', 'holdFee': 0, 'holdVol': 0, 'im': 0, 'leverage': 10, 'liquidatePrice': 0, 'makerFeeRate': 0, 'marginRatio': 0.0044, 'newCloseAvgPrice': 513.68, 'newOpenAvgPrice': 514.3, 'oim': 0, 'openAvgPrice': 514.3, 'openAvgPriceFullyScale': '514.3', 'openType': 2, 'pnl': 0, 'positionId': 1222530689, 'positionType': 1, 'realised': -0.0062, 'state': 3, 'symbol': 'ZEC_USDT', 'takerFeeRate': 0, 'updateTime': 1767711955301, 'version': 2})
2026-01-06 18:07:27 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='LONG', event_type='market_filled', ts=1767712047884, raw={'bboTypeNum': 0, 'category': 1, 'createTime': 1767712047767, 'dealAvgPrice': 514.27, 'dealVol': 1, 'errorCode': 0, 'externalOid': 'd9df5204-101d-4085-8846-85e923f0', 'feeCurrency': 'USDT', 'leverage': 10, 'makerFee': 0, 'makerFeeRate': 0, 'openType': 2, 'orderId': '763538011634977284', 'orderMargin': 0.51427, 'orderType': 5, 'positionId': 1222534764, 'positionMode': 2, 'price': 514.27, 'profit': 0, 'reduceOnly': False, 'remainVol': 0, 'side': 1, 'state': 3, 'symbol': 'ZEC_USDT', 'takerFee': 0, 'takerFeeRate': 0, 'updateTime': 1767712047833, 'usedMargin': 0.51427, 'version': 2, 'vol': 1})
2026-01-06 18:07:27 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='LONG', event_type='deal', ts=1767712047979, raw={'category': 1, 'externalOid': 'd9df5204-101d-4085-8846-85e923f0', 'fee': 0, 'feeCurrency': 'USDT', 'id': '10522171983', 'isSelf': False, 'orderId': '763538011634977284', 'positionMode': 2, 'price': 514.27, 'profit': 0, 'reduceOnly': False, 'side': 1, 'symbol': 'ZEC_USDT', 'taker': True, 'timestamp': 1767712047833, 'vol': 1})
